mol_id,smiles,absorption_energy,emission_energy
QAYZZ04,CC(C)N1C2=[Ir]345(=C6N(c7cc(C(F)(F)F)cc(c73)N2c2nc(C(F)(F)F)ccc21)c1nc(C(F)(F)F)ccc1N6C(C)C)c1cc(C(F)(F)F)cc2c3cc(C(F)(F)F)ccc3n(c12)-c1cc(N(C)C)cc([n+]14)-c1cc(C(F)(F)F)nn15,3.0617283950617282,2.8054298642533935
LOKKII,CC(C)N1C=CN2C1=[Ir]134(=C5N(C=CN5C(C)C)c5cc(C(C)(C)C)cc2c51)c1ccccc1-c1cccc([n+]13)-c1nccn14,2.7555555555555555,2.335216572504708
LOKZZ01,CC(C)N1C=CN2C1=[Ir]134(=C5N(C=CN5C(C)C)c5cc(C(C)(C)C)cc2c51)c1ccccc1-c1cccc([n+]13)-c1nc2ccccc2n14,2.7555555555555555,2.2878228782287824
ATONAB,CC(C)N1C=CN2C1=[Ir]134(=C5N(C=CN5C(C)C)c5cc(C(F)(F)F)cc2c51)c1ccc(C(F)(F)F)cc1Oc1cccc([n+]13)Oc1cc(C(F)(F)F)ccc14,3.7804878048780486,2.5726141078838176
ATONEF,CC(C)N1C2=[Ir]345(=C6N(c7cc(C(F)(F)F)cc(c73)N2c2ncccc21)c1ncccc1N6C(C)C)c1ccc(C(F)(F)F)cc1Oc1cccc([n+]14)Oc1cc(C(F)(F)F)ccc15,3.7237237237237237,3.1392405063291138
ATOZZ03,CC(C)N1C=CN2C1=[Ir]134(=C5N(C=CN5C(C)C)c5cc(C(F)(F)F)cc2c51)c1ccc(C(F)(F)F)cc1Oc1cc(N(C)C)cc([n+]13)Oc1cc(C(F)(F)F)ccc14,3.7237237237237237,3.123425692695214
ATOZZ04,CC(C)N1C2=[Ir]345(=C6N(c7cc(C(F)(F)F)cc(c73)N2c2ncccc21)c1ncccc1N6C(C)C)c1ccc(C(F)(F)F)cc1Oc1cc(N(C)C)cc([n+]14)Oc1cc(C(F)(F)F)ccc15,3.701492537313433,3.084577114427861
ATOZZ05,Cc1cc(C)c2c3c1N1C(=[Ir]345(=C3N2c2ncc(C(F)(F)F)cc2N3C(C)C)c2ccc(C(F)(F)F)cc2Oc2cc(N(C)C)cc([n+]24)Oc2cc(C(F)(F)F)ccc25)N(C(C)C)c2cc(C(F)(F)F)cnc21,3.463687150837989,2.5357873210633946
EGUZZ01,CC(C)N1C2=[Ir]345(=C6N(c7cc(C(C)(C)C)cc(c73)N2c2ncc(C(F)(F)F)cc21)c1ncc(C(F)(F)F)cc1N6C(C)C)c1cc(C(F)(F)F)ccc1Oc1cccc([n+]14)Oc1ccc(C(F)(F)F)cc15,3.5428571428571427,2.767857142857143
EGUFEV,CC(C)N1C2=[Ir]345(=C6N(c7cc(C(C)(C)C)cc(c73)N2c2ncc(C(F)(F)F)cc21)c1ncc(C(F)(F)F)cc1N6C(C)C)c1cc(C(F)(F)F)ncc1Oc1cccc([n+]14)Oc1ccc(C(F)(F)F)nc15,3.625730994152047,2.7555555555555555
EGUFIZ,CC(C)N1C2=[Ir]345(=C6N(c7cc(C(C)(C)C)cc(c73)N2c2ncc(C(F)(F)F)cc21)c1ncc(C(F)(F)F)cc1N6C(C)C)c1cc(C(F)(F)F)ncc1Oc1cccc([n+]14)Oc1cnc(C(F)(F)F)cc15,3.768996960486322,2.857142857142857
BIPZZ02,CCCCN1C=CN2C1=[Ir]134(=C5N(CCCC)C=CN5c5c(C)cc(C)c2c51)=C1N(CCCC)C=CN1c1c(C)cc(C)c(c13)N1C=CN(CCCC)C=41,3.701492537313433,3.2291666666666665
UVEZZ02,CC(C)N1C=CN2C1=[Ir]134(=C5N(C=CN5C(C)C)c5cc(C(F)(F)F)cc2c51)c1cc(F)cc(F)c1-c1cccc([n+]13)-c1cc(C(F)(F)F)nn14,3.0466830466830466,2.678185745140389
UVEFIM,CC(C)N1C=CN2C1=[Ir]134(=C5N(C=CN5C(C)C)c5cc(C(C)(C)C)cc2c51)c1cc(F)cc(F)c1-c1cccc([n+]13)-c1cc(C(F)(F)F)nn14,2.9665071770334928,2.6271186440677967
UVEFAE,CC(C)N1C=CN2C1=[Ir]134(=C5N(C=CN5C(C)C)c5cc(C(F)(F)F)cc2c51)c1cc(F)cc(F)c1-c1cccc([n+]13)-c1c(F)cc(F)cc14,2.8770301624129933,2.3134328358208953
UVEZZ3B,CC(C)N1C=CN2C1=[Ir]134(=C5N(C=CN5C(C)C)c5cc(C(C)(C)C)cc2c51)c1cc(F)cc(F)c1-c1cccc([n+]13)-c1c(F)cc(F)cc14,2.863741339491917,2.18694885361552
SIMZZ05,CN1C=CN2C1=[Ir]134(=C5N(C)C=CN5c5cc(C(C)(C)C)cc2c51)c1cc(F)ccc1Oc1cc(C(C)(C)C)cc([n+]13)-c1cc(C(F)(F)F)nn14,3.797856049004594,2.767857142857143
