mol_id,emission_energy,
bp,2.952004725,
dfbp,3.031398495,
dcbp,2.944992837,
dbbp,2.896827066,
bbp,2.944992837,
abp,2.588396627,
mbb,3.668171551,
dbbp2,2.583004134,
