mol_id,smiles,absorption_energy,emission_energy
bp,O=C(c1ccccc1)c1ccccc1,4.6090780086691545,2.9520047246000063
dfbp,O=C(c1ccc(F)cc1)c1ccc(F)cc1,4.787034688540551,3.031398494699273
dcbp,O=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,4.661060091473694,2.944992836893118
dbbp,O=C(c1ccc(Br)cc1)c1ccc(Br)cc1,4.626276060940308,2.896827066196268
bbp,O=C(c1ccccc1)c1ccc(Br)cc1,4.714228077307994,2.944992836893118
abp,Nc1ccccc1C(=O)c1ccccc1,5.25356773022035,2.5883966269979175
mbb,COC(=O)c1ccccc1,5.102230388197541,3.6681715512781143
dbbp2,Brc1ccc(-c2ccc(Br)cc2)cc1,4.6090780086691545,2.583004134025005
